Company Name,Profile URL,Overall Rating,Total Reviews,Industry,Company Summary,Salary Rating,Job Security Rating,Work-Life Balance Rating,Scraped At
HDB Financial Services,https://www.ambitionbox.com/overview/hdb-financial-services-overview,3.9000000953674316,25682,"NBFC, BPO/KPO, Financial Services, Banking","HDB Financial Services (HDBFS) is a leading Non-Banking Financial Company (NBFC) that caters to the growing needs of an Aspirational India, serving both Individual & Business Clients. Incorporated in 2007, we are a well-established business with strong capitalization. HDBFS is accredited with CARE AAA & CRISIL AAA ratings for its long-term debt & Bank facilities and an A1+ rating for its short-term debt & commercial papers, making it a strong and reliable financial institution. HDBFS maintains a strong commitment to ethical conduct. Transparency is ingrained in the structure of our Code of Ethics and our compliance policies to ensure that the highest standards of professional conduct are consistently reinforced and embedded in every corner of the organisation.",3.4,3.8,3.8,2026-05-13 02:39:57
Larsen & Toubro Limited,https://www.ambitionbox.com/overview/larsen-and-toubro-limited-overview,3.9000000953674316,23898,"Engineering & Construction, Defence & Aerospace, Industrial Machinery, Power, Real Estate, Oil & Gas","Larsen & Toubro is an Indian multinational engaged in EPC Projects, Hi-Tech Manufacturing and Services. It operates in over 50 countries worldwide. A strong, customer-focused approach and the constant quest for top-class quality have enabled L&T to attain and sustain leadership in its major lines of business for over eight decades. We are engaged in core, high impact sectors of the economy and our integrated capabilities span the entire spectrum of ‘design to delivery’. Every aspect of L&T's businesses is characterised by professionalism and high standards of corporate governance. Sustainability is embedded into our long-term strategy for growth. The Company’s manufacturing footprint extends across eight countries in addition to India. L&T has several international offices and a supply chain that extends around the globe.",3.8,4.0,3.4,2026-05-13 02:40:03
Deloitte,https://www.ambitionbox.com/overview/deloitte-overview,3.700000047683716,23177,"Management Consulting, IT Services & Consulting, Accounting & Auditing","At Deloitte, we help provide high-quality audit & assurance services, consulting, tax, and advisory services to some of the world’s most admired brands. Alongside this work, our Enabling Areas and Global teams support Deloitte’s businesses, helping create impact for clients, communities, and our people. Our professionals help provide measurable and lasting results that could help reinforce public trust in capital markets, enable clients to transform and thrive, and lead the way toward a stronger economy, a more equitable society and a sustainable world. Building on its 180-plus year history, Deloitte spans more than 150 countries and territories. Deloitte US‑India Offices (USI) is a region within the Deloitte US organization, with offices across seven cities in India: Hyderabad, Mumbai, Gurugram, Bengaluru, Kolkata, Pune, and Chennai.",3.6,3.7,3.2,2026-05-13 02:40:08
Kotak Mahindra Bank,https://www.ambitionbox.com/overview/kotak-mahindra-bank-overview,3.5999999046325684,22455,"Banking, Financial Services","Established in 1985, the Kotak Mahindra Group is one of India’s leading financial services conglomerates. In February 2003, Kotak Mahindra Finance Ltd. (KMFL), the Group’s flagship company, received a banking license from the Reserve Bank of India (RBI). With this, KMFL became the first non-banking finance company in India to become a bank – Kotak Mahindra Bank Limited. The Group offers a wide range of financial services that encompass every sphere of life. From commercial banking, to stock broking, mutual funds, life insurance and investment banking, the Group caters to the diverse financial needs of individuals and the corporate sector. The Group has a wide distribution network through branches and franchisees across India, and international offices in London, New York, California, Dubai, Abu Dhabi, Bahrain, Mauritius and Singapore.",3.4,3.6,3.5,2026-05-13 02:40:11
Reliance Industries ,https://www.ambitionbox.com/overview/reliance-industries-overview,4.0,20234,"Oil & Gas, Engineering & Construction, Petrochemicals","Reliance Industries Limited (RIL) is a Fortune 100 company and the largest private sector corporation in India. In just over four decades, we have emerged as one of India’s most valuable, stakeholder-centric organizations, building important assets for India and innovating for a better future for all Indians. We are one of the highest contributors to India's economic growth. The legacy of Reliance has been shaped by an ability to think big. If you are someone who thrives on going beyond the status quo, if you are up for challenges in large-scale initiatives and aspire to be part of extraordinary teams playing key roles in strengthening the country’s economic growth, then Reliance is likely to have an opportunity for you!",3.6,4.1,3.9,2026-05-13 02:40:17
Vodafone Idea,https://www.ambitionbox.com/overview/vodafone-idea-overview,3.9000000953674316,17596,Telecom,"Vodafone Idea Limited is an Aditya Birla Group and Vodafone Group partnership. It is India’s leading telecom service provider. The Company provides pan India Voice and Data services across 2G, 3G and 4G platform. With the large spectrum portfolio to support the growing demand for data and voice, the company is committed to deliver delightful customer experiences and contribute towards creating a truly ‘Digital India’ by enabling millions of citizens to connect and build a better tomorrow. The Company is developing infrastructure to introduce newer and smarter technologies, making both retail and enterprise customers future ready with innovative offerings, conveniently accessible through an ecosystem of digital channels as well as extensive on-ground presence. The Company is listed on National Stock Exchange (NSE) and Bombay Stock Exchange (BSE) in India.",3.9,3.7,3.8,2026-05-13 02:40:22
Bharti Airtel,https://www.ambitionbox.com/overview/bharti-airtel-overview,3.799999952316284,17068,Telecom,"Airtel was built with a bold purpose: to connect the world and unlock limitless possibilities. At our core, we are powered by energy, innovation, creativity, scale, and a strong sense of ownership. We don’t just do our jobs—we go the extra mile to create meaningful impact for our customers. Our people are highly skilled, constantly evolving, and driven to build world-class digital infrastructure. From rolling out next-generation technologies like 5G, IoT, Airtel IQ, and Airtel Black to shaping India’s digital future, we are at the forefront of transformation. Airtel’s 5G services are now live across 5,000+ cities and towns, serving over 10 million unique 5G customers nationwide. Airtel Black further simplifies life for families and friends by bringing multiple services under a single, seamless bill. Beyond consumer offerings, we deliver robust enterprise and carrier solutions, including national and international long-distance services. With over 574 million customers, our footprint spans nearly 96% of India’s population, supported by an extensive optical fiber network and 1.2 million retail outlets. Sustainability is equally central to our journey—through energy conservation, e-billing, and responsible e-waste recycling, we actively work to reduce our environmental impact. At India’s 3rd largest company (by market cap), we believe in taking early ownership, delivering with quality, and exploring diverse career paths to accelerate growth and learning. Together, we are building exceptional experiences for our consumers—while shaping a more connected, digital, and sustainable future for India.",3.7,3.6,3.6,2026-05-13 02:40:26
BYJU'S,https://www.ambitionbox.com/overview/byjus-overview,3.200000047683716,16350,"EdTech, Internet, Education & Training","BYJU'S is the world's most valuable ed-tech company and the creator of India's most loved school learning app. Launched in 2015, BYJU'S offers highly personalised and effective learning programs for classes 1 - 12 (K-12), and aspirants of competitive exams like JEE, IAS etc. With 50 million registered students and 3.5 million paid subscriptions, BYJU'S has become one of the most preferred education platforms across the globe.",3.5,2.4,2.8,2026-05-13 02:40:31
WNS,https://www.ambitionbox.com/overview/wns-overview,3.299999952316284,15270,"IT Services & Consulting, BPO/KPO, Consulting, Food Processing","WNS (Holdings) Limited (NYSE: WNS), is a global digital-led business transformation and services partner. WNS combines deep domain expertise with talent, technology and AI to co-create innovative solutions for over 600+ clients across 13 countries. We deliver an entire spectrum of solutions including industry-specific offerin, customer experience services, finance and accounting, human resources, procurement, and research and analytics to re-imagine the digital future of businesses. Our 63,000+ employees from 66 delivery centers worldwide work passionately towards enabling businesses in Travel, Insurance, Banking and Financial Services, Manufacturing, Retail and Consumer Packaged Goods, Shipping and Logistics, Healthcare, and Utilities. Our global footprint strides across 13 countries – including Canada, China, Costa Rica, India, Malaysia, the Philippines, Poland, Romania, South Africa, Sri Lanka, Turkey, the United Kingdom, and the United States.",2.9,3.5,3.3,2026-05-13 02:40:36
IDFC FIRST Bank,https://www.ambitionbox.com/overview/idfc-first-bank-overview,3.9000000953674316,14615,"Banking, Financial Services","Our vision is to build a world-class Bank in India, founded with principles of Ethical, Digital, and Social Good Banking. To read more about our Bank, visit here .",3.9,3.7,3.8,2026-05-13 02:40:40
HDFC Life,https://www.ambitionbox.com/overview/hdfc-life-overview,3.799999952316284,12067,"Insurance, Banking / Insurance / Accounting, Financial Services","HDFC Life Insurance Company Limited is a joint venture between HDFC Ltd., one of India’s leading housing finance institution and Standard Life Aberdeen, a global investment company. Established in 2000, HDFC Life is a leading long-term life insurance solutions provider in India, offering a range of individual and group insurance solutions that meet various customer needs such as Protection, Pension, Savings, Investment, Annuity and Health. As on March 31, 2020 the Company had 37 individual and 11 group products in its portfolio, along with 6 optional rider benefits, catering to a diverse range of customer needs. HDFC Life continues to benefit from its presence across the country with 421 branches and additional distribution touchpoints through several partnerships. The partnerships comprise 270 bancassurance partners including NBFCs (Non-Banking Financial Companies), MFIs (Micro Finance Institutions), SFBs (Small Finance Banks), etc. and more than 40 new ecosystem partners. The Company is also strengthened by a strong base of financial consultants.",3.7,3.7,3.7,2026-05-13 02:40:44
DXC Technology,https://www.ambitionbox.com/overview/dxc-technology-overview,3.5999999046325684,11997,IT Services & Consulting,"We deliver the mission critical IT services that move the world. DXC Technology is a Fortune 500 global IT services leader. Our more than 130,000 people in 70-plus countries are entrusted by our customers to deliver what matters most. We use the power of technology to deliver mission critical IT services across the Enterprise Technology Stack to drive business impact. DXC is an employer of choice with strong values, and fosters a culture of inclusion, belonging and corporate citizenship. We are DXC. What we do We deliver the IT services our customers need to modernize operations and drive innovation across their entire IT estate. We provide services across the Enterprise Technology Stack for business process outsourcing, analytics and engineering, applications, security, cloud, IT outsourcing and modern workplace. How we work Every day, we earn our customers’ trust by delivering transformative technologies to ensure the success, safety and well-being of businesses and people worldwide. We provide world-class IT services at scale from our Global Innovation and Delivery Centers in North America, South America, Europe, Asia and Australia. Our globally connected centers enable us to solve complex technology challenges and transform our customers’ businesses through our dedicated delivery workforce of more than 110,000 people. With globally distributed teams and rich engineering skills, DXC offers competitive solutions to address customers’ cost, regulatory, language and business continuity requirements. We leverage the power of partnerships through our curated DXC ecosystem of technology leaders. By combining strengths and expertise globally, we create solutions and deliver greater outcomes for customers across the Enterprise Technology Stack. Our values Our values are the fabric of DXC. They bind us together regardless of where or how we work and position us to succeed on our transformation journey. Join our team We inspire and take care of our people. We work to create a culture of learning, diversity and inclusion and are dedicated to strong ethics and corporate citizenship. In each of the three regions where we work — Americas; Europe, Middle East and Africa; and Asia Pacific — we’re singularly focused on delivering excellence for our customers. DXC is where brilliant people embrace change and seize opportunities to advance their careers and amplify customer success.",3.0,3.6,3.8,2026-05-13 02:40:49
Bandhan Bank,https://www.ambitionbox.com/overview/bandhan-bank-overview,3.700000047683716,11158,"Banking, Financial Services","Bandhan Bank Limited was incorporated on 23rd Dec, 2014 as a wholly-owned subsidiary of Bandhan Financial Holdings Limited, owned by Bandhan Financial Services Limited (BFSL), the largest micro finance organization in India. Its public shareholders include International Finance Corporation (IFC), SIDBI, Caladium Investment Pte. Ltd. (a company managed by GIC Special Investments Private Limited), Bandhan Employees Welfare Trust & a few individuals. Bandhan Bank is driven by a constant desire to serve better. The Kolkata-headquartered bank has two divisions - micro banking & general banking, offering a suite of retail financial solutions, including a variety of savings & loan products. Bandhan Bank seeks to offer world-class banking products & services to urban, semi-urban & rural customers alike. It is a bank for all but the focus remains unchanged to meet the financial needs of people who are overlooked by the formal banking system & create better education, health care & self-employment opportunities. In sync with the philosophy of ‘Aapka Bhala, Sabki Bhalai’ and keeping financial inclusion at the heart of it, Bandhan is committed to provide a host of products & services, competitively at par with India’s top private & state-owned banks. Simply put, when you choose to bank with Bandhan, you are choosing to be instrumental in the nation’s larger growth story.",3.5,3.7,3.6,2026-05-13 02:40:54
Digitide Solutions,https://www.ambitionbox.com/overview/conneqt-business-solutions-overview,3.5,10357,"IT Services & Consulting, BPO/KPO","Established in 2004, Conneqt Business Solutions Ltd. (formerly Tata Business Support Services Ltd) headquartered in Hyderabad, is a subsidiary of Quess Corp (BSE: 539978, NSE: QUESS), India’s leading business services provider. Throughout our journey, top industry analysts such as Gartner, Nelson Hall and Dun & Bradstreet have ranked us amongst the top Customer Lifecycle Management and Business Process Management service providers in India and the Middle East. We are committed to provide world-class customer experience with our dedicated team of over 32,000+ employees located across 26 delivery centres. We’re constantly refining our technologies and developing ideas to better serve our 120 clients in 24 Indian and 12 International languages in over 600 + locations across PAN India through our unique ‘Feet on Street’ offering. We have created a customer-centric collaborative ecosystem of people, platforms, processes and partners to align strategically with your business goals. We help elevate your organization with the power of our in-house domain expertise, cutting-edge technology, and analytics. Besides Customer Lifecycle Management and Business Process Management services, Conneqt also provides Finance and Accounting (FAO), HR Shared Services (HRSS) and Middle and Back Office Services. The company uses its innovative DiB (Digital-in a-Box) framework to help clients rapidly develop digital services that are market ready. Conneqt is also investing in automation and analytics capabilities and geographical expansion into US, Middle East and APAC.",3.0,3.4,3.4,2026-05-13 02:40:59
Mphasis,https://www.ambitionbox.com/overview/mphasis-overview,3.299999952316284,10255,"IT Services & Consulting, Financial Services, Hardware & Networking, Insurance, Emerging Technologies","Mphasis’ purpose is to be the “Driver in Driverless Car” for Global Enterprises by applying next-generation design, architecture and engineering services, to deliver scalable and sustainable software and technology solutions. Customer centricity is foundational to Mphasis and is reflected in the Mphasis’Front2BackTM Transformation approach. Front2BackTM uses the exponential power of cloud and cognitive to provide hyper-personalized (C=X2C2TM=1) digital experience to clients and their end customers. Mphasis’ Service Transformation approach helps ‘shrink the core’ through the application of digital technologies across legacy environments within an enterprise, enabling businesses to stay ahead in a changing world. Mphasis’ core reference architectures and tools, speed and innovation with domain expertise and specialization, combined with an integrated sustainability and purpose-led approach across its operations and solutions are key to building strong relationships with marquee clients.",2.7,3.4,3.5,2026-05-13 02:41:05
Yes Bank,https://www.ambitionbox.com/overview/yes-bank-overview,3.700000047683716,10200,"Banking, Banking / Insurance / Accounting, Financial Services","YES BANK, India’s fourth largest private sector bank is a high quality, customer centric and service driven Bank. Since inception in 2004, YES BANK has grown into a ‘Full Service Commercial Bank’ providing a complete range of products, services and technology driven digital offerings, catering to corporate, MSME & retail customers. YES BANK operates its Investment banking, Merchant banking & Brokerage businesses through YES SECURITIES and its Mutual Fund business through YES Asset Management (India) Limited, both wholly owned subsidiaries of the Bank. Headquartered in Mumbai, it has a pan-India presence across all 28 states and 9 Union Territories in India including an IBU at GIFT City, and a Representative Office in Abu Dhabi.",3.7,3.3,3.6,2026-05-13 02:41:09
Tata Steel,https://www.ambitionbox.com/overview/tata-steel-overview,4.0,9897,"Iron & Steel, Manufacturing, Metals & Mining, Power","We touch the lives of millions of people across the world every day with the steel that we produce. And it is highly likely that Tata Steel has affected your life today, though you may not know it. From the vehicle you drive, to the house you live in; from the bridges you cross, to the hand tools that you use, we strive to deliver unparalleled quality through our customised value-added solutions to make your life easier. This is made possible by our commitment to a culture of continuous improvement, through which we drive operational excellence in processes, products and people. Tata Steel, with an annual crude steel capacity of 34 million tonnes per annum (MnTPA), is one of the world’s most geographically diversified steel producers. We are one of the few steel operations that are fully integrated – from mining to the manufacturing and marketing of finished products. Continuous improvement in our product and service portfolio, along with success in value creating initiatives for customers, allows us to serve global growth markets. Today, we have our operations and commercial presence across the world. Tata Steel, together with its subsidiaries, associates, and joint ventures, is spread across five continents. Our Raw Material operations are spread across India and Canada which help us to be self-sufficient in steel production. Key manufacturing functions are performed by the raw materials and iron-making groups, while Shared Services provides maintenance support for a smooth production.",3.5,4.0,4.0,2026-05-13 02:41:14
Quess,https://www.ambitionbox.com/overview/quess-overview,3.799999952316284,9757,Recruitment,"Founded in 2007 and headquartered in Bengaluru, Quess has scaled from a start-up into one of the world’s largest and most trusted staffing organisations. Today, we operate across eight countries, engage over 480,000 professionals, and serve more than 2,200 clients worldwide across BFSI, Retail, Telecom, Manufacturing, Information Technology, Global Capability Centres (GCCs), and other critical industries.",3.5,3.4,3.7,2026-05-13 02:41:19
Asian Paints,https://www.ambitionbox.com/overview/asian-paints-overview,3.9000000953674316,9567,"Chemicals, Retail","Asian Paints: A Legacy of Innovation, Growth & Purpose Founded in 1942 by four visionary friends, Asian Paints began as a modest partnership firm with a bold ambition—to challenge the global giants in India’s paint industry. Over the decades, it has grown into India’s leading paint company and a global corporate force, driven by a relentless focus on consumers, innovation, and excellence. Who We Are We are passionate about colour, design, décor, and protection - making everything beautiful and enduring. As global innovators, we redefine trends with world-class, sustainable solutions that inspire people to realise their dreams. We co-create with customers and partners, transforming billions of spaces and lives. Our inclusive, dynamic workplace fosters creativity and drives positive change, bringing joy to the world! What We Do Asian Paints offers a comprehensive portfolio that includes: 1. Decorative & Industrial Paints 2. Waterproofing Solutions & Adhesives 3. Home Décor: Modular kitchens, wardrobes, bath fittings, sanitaryware, decorative lighting, uPVC windows & doors, wall coverings, furniture, fabrics, and rugs.",4.2,3.8,3.5,2026-05-13 02:41:23
Maruti Suzuki,https://www.ambitionbox.com/overview/maruti-suzuki-overview,4.099999904632568,9531,"Automobile, Manufacturing","Experiences fuelled by innovations, forward thinking, and a commitment to bring the very best to Indian roads. From the day the iconic Maruti 800 was launched in 1983, the company has been spearheading a revolution of change. Turning country’s necessity for driving, into its love for driving. However, tastes and demands keep on evolving with each new generation of Indians. This has not been looked at by Maruti Suzuki as a challenge, but as an inspiration to go beyond traditional boundaries of car-making. Infusing design and technology is one such step it has taken to make its cars meet new age expectations smoothly. Today, Maruti Suzuki has its eyes set firmly on the possibilities of tomorrow. And everybody is invited on this journey of growth through employment, of talented manpower who wants to contribute in this journey. Maruti Suzuki India Limited, BU Hansalpur is subsidiary of Suzuki Motor Corporation to produce automobiles in India, is running on 03 line production with capacity of 7.5 Lacs car manufacturing. This Plant Maruti Suzuki India Limited, BUH Gujarat plant was established in March 2014, aiming to secure production ability in preparation for the automobile market growth in India, as well as for expansion of exports from India. Plant A started operating in February 2017, and Plant B and Powertrain Plant in January 2019. In October 2020, Plant C started working. MSIL GJ became the fastest production site of Suzuki to achieve accumulated automobile production of 1 million units.",4.2,4.2,3.9,2026-05-13 02:41:28
Ericsson,https://www.ambitionbox.com/overview/ericsson-overview,3.9000000953674316,8414,"Telecom, Internet, Analytics & KPO","Creating game-changing technologies and services that shape our future - that's what we do. By combining creativity, expertise and technology, we open new possibilities in communication for you. And together, we support in resolving global challenges. For example by mitigating climate change and connecting every school in the world.",3.4,3.7,4.0,2026-05-13 02:41:31
Samsung,https://www.ambitionbox.com/overview/samsung-overview,3.9000000953674316,8332,"Consumer Electronics & Appliances, Consumer goods, Manufacturing, Electronics","Samsung Electronics is a global leader in technology, opening new possibilities for people everywhere. Through relentless innovation and discovery, we are transforming the worlds of TVs, smartphones, wearable devices, tablets, digital appliances, network systems, medical devices, semiconductors and LED solutions. Samsung is also leading in the Internet of Things space through, among others, our Smart Home and Digital Health initiatives. Since being established in 1969, Samsung Electronics has grown into one of the world’s leading technology companies, and become recognized as one of the top 10 global brands. Our network now extends across the world, and Samsung takes great pride in the creativity and diversity of its talented people, who drive our growth. To discover more, please visit our website at www.samsung.com and our official newsroom at news.samsung.com",3.8,3.6,3.7,2026-05-13 02:41:34
Dr. Reddy's,https://www.ambitionbox.com/overview/dr-dot-reddys-overview,4.0,8236,"Pharma, Clinical Research","We started in 1984 with a modest investment and a bold vision. Today, with research and development centres, manufacturing facilities and commercial presence across the globe, we serve over half a billion patients worldwide. We aspire to triple our reach and touch over 1.5 billion patients by 2030. We are committed to providing access to affordable and innovative medicines, driven by our purpose of ‘Good Health Can’t Wait’. Our products and services are spread across our core businesses of Active Pharmaceutical Ingredients (API), generics, branded generics, biosimilars and over-the-counter pharmaceutical products around the world. We work towards meeting unmet patients needs in the areas of gastro-enterology, cardiovascular, diabetology, oncology, pain management and dermatology. We are investing in businesses of the future including drug discovery, clinically-differentiated assets and digital healthcare.",3.9,3.5,3.9,2026-05-13 02:41:38
Optum Global Solutions,https://www.ambitionbox.com/overview/optum-global-solutions-overview,4.0,7973,"IT Services & Consulting, Hardware & Networking, Healthcare, Software Product","Optum, part of the UnitedHealth Group family of businesses, is a global organization that delivers care, aided by technology to help millions of people live healthier lives. The work you do with our team will directly improve health outcomes by connecting people with the care, pharmacy benefits, data and resources they need to feel their best. Here, you will find a culture guided by inclusion, talented peers, comprehensive benefits and career development opportunities. Come make an impact on the communities we serve as you help us advance health optimization on a global scale. Join us to start Caring. Connecting. Growing together.",3.5,4.2,4.1,2026-05-13 02:41:42
JSW Steel,https://www.ambitionbox.com/overview/jsw-steel-overview,3.9000000953674316,7901,"Iron & Steel, Financial Services, Metals & Mining, Engineering & Construction","JSW Steel has always been at the forefront of research and innovation. It has a strategic collaboration with global leader JFE Steel of Japan, enabling JSW to access new and state-of-the-art technologies to produce & offer high-value special steel products to its customers. These products are extensively used across industries and applications including construction, infrastructure, automobile, electrical applications, appliances, etc. JSW Steel is widely recognized for its excellence in business and sustainability practices. Some of these recognitions include World Steel Association’s Steel Sustainability Champion (consecutively 2019 to 2021), Leadership Rating (A-) in CDP (2020), Deming Prize for TQM for its facilities at Vijayanagar (2018) and Salem (2019). It is part of the Dow Jones Sustainability Index (DJSI) for Emerging Markets (2021) and S&P Global’s Sustainability Yearbook (consecutively for 2020 and 2021). JSW Steel is the only Indian company to be ranked among the top 15 global steel producers by World Steel Dynamics for 13 consecutive years since 2008. As a responsible corporate citizen, JSW Steel’s carbon reduction goals are aligned with India’s Climate Change commitments under the Paris Accord.",3.6,4.1,3.6,2026-05-13 02:41:47
